                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.88689,                0.50705,                 1.0075,                0.97694,                      1,                0.99457,                0.74749,                0.91059,                0.46043,                0.98217,              0.0016502,              0.0016502,              0.0016502
                     56,                0.97446,                 0.5022,                0.99587,                0.97523,                      1,                0.99457,                0.73428,                0.96178,                0.46461,                0.98672,              0.0016436,              0.0016436,              0.0016436
                     57,                0.95544,                0.52469,                0.92585,                0.97523,                      1,                0.99457,                0.73428,                0.96178,                0.46461,                0.98672,               0.001637,               0.001637,               0.001637
                     58,                0.94473,                0.49664,                0.97928,                0.99704,                      1,                  0.995,                0.72281,                0.97415,                0.47387,                0.98364,              0.0016304,              0.0016304,              0.0016304
                     59,                0.99814,                0.57891,                 0.9975,                0.99704,                      1,                  0.995,                0.72281,                0.97415,                0.47387,                0.98364,              0.0016238,              0.0016238,              0.0016238
                     60,                0.89154,                0.47141,                0.94864,                0.99757,                      1,                  0.995,                0.74133,                0.93143,                 0.4709,                0.97395,              0.0016172,              0.0016172,              0.0016172
                     61,                0.99536,                0.51806,                0.95043,                0.99757,                      1,                  0.995,                0.74133,                0.93143,                 0.4709,                0.97395,              0.0016106,              0.0016106,              0.0016106
                     62,                0.97284,                0.50526,                0.96242,                0.99829,                      1,                  0.995,                0.75728,                0.86848,                0.45589,                0.95967,               0.001604,               0.001604,               0.001604
                     63,                0.94338,                0.53732,                0.99491,                0.99829,                      1,                  0.995,                0.75728,                0.86848,                0.45589,                0.95967,              0.0015974,              0.0015974,              0.0015974
                     64,                0.93802,                0.51474,                 1.0056,                 0.9983,                      1,                  0.995,                0.75844,                 0.8911,                0.45783,                0.96262,              0.0015908,              0.0015908,              0.0015908
                     65,                0.94875,                0.52566,                0.96406,                 0.9983,                      1,                  0.995,                0.75844,                 0.8911,                0.45783,                0.96262,              0.0015842,              0.0015842,              0.0015842
                     66,                0.91487,                0.54379,                0.97924,                0.99791,                      1,                  0.995,                0.76826,                0.89897,                0.45289,                0.96427,              0.0015776,              0.0015776,              0.0015776
                     67,                 1.0061,                0.52497,                 0.9984,                0.99791,                      1,                  0.995,                0.76826,                0.89897,                0.45289,                0.96427,               0.001571,               0.001571,               0.001571
                     68,                 1.0333,                0.51542,                0.96689,                0.99734,                      1,                  0.995,                0.77927,                0.88112,                0.45452,                0.96717,              0.0015644,              0.0015644,              0.0015644
                     69,                  1.007,                0.53669,                0.96834,                0.99734,                      1,                  0.995,                0.77927,                0.88112,                0.45452,                0.96717,              0.0015578,              0.0015578,              0.0015578
                     70,                 1.0274,                0.57059,                 1.0138,                0.99729,                      1,                  0.995,                0.74637,                0.93056,                 0.4749,                0.98318,              0.0015512,              0.0015512,              0.0015512
                     71,                 1.0828,                0.56996,                 1.0033,                0.99729,                      1,                  0.995,                0.74637,                0.93056,                 0.4749,                0.98318,              0.0015446,              0.0015446,              0.0015446
                     72,                0.98216,                0.52939,                0.97532,                0.99775,                      1,                  0.995,                0.74111,                0.98708,                0.48269,                 1.0016,               0.001538,               0.001538,               0.001538
